x,excitation,emission
426,0.43423,0.72679
427,0.41481,0.74538
428,0.39584,0.76127
429,0.37774,0.77836
430,0.35744,0.79333
431,0.33802,0.80763
432,0.31823,0.82279
433,0.29831,0.83631
434,0.27839,0.85094
435,0.25857,0.86303
436,0.24004,0.87694
437,0.22106,0.88854
438,0.20325,0.90101
439,0.1861,0.91185
440,0.16939,0.92262
441,0.15445,0.93328
442,0.14004,0.94251
443,0.12648,0.95295
444,0.11381,0.9612
445,0.10229,0.96966
446,0.091449,0.97725
447,0.082372,0.98353
448,0.075061,0.9889
449,0.067008,0.99285
450,0.059819,0.99624
451,0.053513,0.99844
452,0.04809,0.99954
453,0.043552,0.99941
454,0.038129,0.9987
455,0.033591,0.99622
456,0.03004,0.99301
457,0.027277,0.98894
458,0.024124,0.984
459,0.021413,0.97729
460,0.018701,0.97058
461,0.016345,0.963
462,0.014163,0.95503
463,0.011893,0.94695
464,0.010066,0.9376
465,0.0083936,0.92886
466,0.0068523,0.91808
467,0.005743,0.90819
468,0.0045224,0.89671
469,0.0035341,0.88488
470,0.0017507,0.8741
471,0.00088353,0.86164
472,0.00044177,0.85079
473,0,0.83826
474,0,0.8266
475,2.3242E-006,0.81231
476,9.4674E-006,0.79978
477,0.000021189,0.78636
478,0.000037243,0.77253
479,0.000057357,0.75905
480,0.000081269,0.74436
481,0.00010872,0.73095
482,0.00013946,0.71666
483,0.00017321,0.70237
484,0.00020973,0.6874
485,0.00024876,0.6729
486,0.00029004,0.65927
487,0.0003333,0.64382
488,0.00037828,0.63058
489,0.00042473,0.61513
490,0.00047239,0.60144
491,0.000521,0.58627
492,0.0005703,0.57197
493,0.00062002,0.55846
494,0.00066992,0.54317
495,0.00071973,0.52998
496,0.00076919,0.51568
497,0.00081804,0.50227
498,0.00086602,0.48886
499,0.00091288,0.47692
500,0.00095835,0.46403
501,0.0010022,0.45205
502,0.0010441,0.44048
503,0.0010838,0.42788
504,0.0011212,0.41629
505,0.0011558,0.40376
506,0.0011875,0.39386
507,0.001216,0.38191
508,0.0012411,0.37143
509,0.0012624,0.36146
510,0.0012797,0.35076
511,0.0012928,0.34086
512,0.0013015,0.33079
513,0.0013053,0.32195
514,0.0013041,0.3121
515,0.0012977,0.30364
516,0.0012857,0.29517
517,0.0012679,0.28671
518,0.0012441,0.27863
519,0.0012139,0.27066
520,0.0011772,0.26307
521,0.0011337,0.25509
522,0.001083,0.2479
523,0.001025,0.24062
524,0.00095938,0.23361
525,0.0008859,0.22694
526,0.00080429,0.22019
527,0.00071429,0.21436
528,0.00061565,0.20692
529,0.00050808,0.20183
530,0.00039134,0.19516
531,0.00026518,0.19093
532,0.00012934,0.18523
533,0,0.1794
534,0.00044177,0.17472
535,0.0022088,0.1695
536,0.0040119,0.16456
537,0.0060882,0.15873
538,0.0069112,0.15388
539,0.0068441,0.14916
540,0.00751,0.14388
541,0.0086292,0.13981
542,0.0083936,0.13487
543,0.0092771,0.13003
544,0.0092771,0.12585
545,0.0092771,0.12244
546,0.0092771,0.11865
547,0.0092771,0.1153
548,0.0092771,0.11238
549,0.0088353,0.10947
550,0.0088353,0.10655
551,NaN,0.1032
552,NaN,0.10112
553,NaN,0.098253
554,NaN,0.095715
555,NaN,0.092766
556,NaN,0.089952
557,NaN,0.087478
558,NaN,0.084564
559,NaN,0.08209
560,NaN,0.079616
561,NaN,0.077582
562,NaN,0.075108
563,NaN,0.073074
564,NaN,0.070783
565,NaN,0.068565
566,NaN,0.066531
567,NaN,0.064189
568,NaN,0.062462
569,NaN,0.060428
570,NaN,0.058473
571,NaN,0.056715
572,NaN,0.055012
573,NaN,0.053169
574,NaN,0.051575
575,NaN,0.05012
576,NaN,0.048801
577,NaN,0.047482
578,NaN,0.046163
579,NaN,0.045284
580,NaN,0.043765
581,NaN,0.042646
582,NaN,0.041455
583,NaN,0.0403
584,NaN,0.039129
585,NaN,0.03781
586,NaN,0.036491
587,NaN,0.035612
588,NaN,0.034524
589,NaN,0.033413
590,NaN,0.032974
591,NaN,0.032094
592,NaN,0.030783
593,NaN,0.030336
594,NaN,0.029017
595,NaN,0.028137
596,NaN,0.027482
597,NaN,0.026379
598,NaN,0.025939
599,NaN,0.024456
600,NaN,0.023741
601,NaN,NaN
602,NaN,NaN
603,NaN,NaN
604,NaN,NaN
605,NaN,NaN
606,NaN,NaN
607,NaN,NaN
608,NaN,NaN
609,NaN,NaN
610,NaN,NaN
611,NaN,NaN
612,NaN,NaN
613,NaN,NaN
614,NaN,NaN
615,NaN,NaN
616,NaN,NaN
617,NaN,NaN
618,NaN,NaN
619,NaN,NaN
620,NaN,NaN
621,NaN,NaN
622,NaN,NaN
623,NaN,NaN
624,NaN,NaN
625,NaN,NaN
626,NaN,NaN
627,NaN,NaN
628,NaN,NaN
629,NaN,NaN
630,NaN,NaN
631,NaN,NaN
632,NaN,NaN
633,NaN,NaN
634,NaN,NaN
635,NaN,NaN
636,NaN,NaN
637,NaN,NaN
638,NaN,NaN
639,NaN,NaN
640,NaN,NaN
641,NaN,NaN
642,NaN,NaN
643,NaN,NaN
644,NaN,NaN
645,NaN,NaN
646,NaN,NaN
647,NaN,NaN
648,NaN,NaN
649,NaN,NaN
650,NaN,NaN
651,NaN,NaN
652,NaN,NaN
653,NaN,NaN
654,NaN,NaN
655,NaN,NaN
656,NaN,NaN
657,NaN,NaN
658,NaN,NaN
659,NaN,NaN
660,NaN,NaN
661,NaN,NaN
662,NaN,NaN
663,NaN,NaN
664,NaN,NaN
665,NaN,NaN
666,NaN,NaN
667,NaN,NaN
668,NaN,NaN
669,NaN,NaN
670,NaN,NaN
671,NaN,NaN
672,NaN,NaN
673,NaN,NaN
674,NaN,NaN
675,NaN,NaN
676,NaN,NaN
677,NaN,NaN
678,NaN,NaN
679,NaN,NaN
680,NaN,NaN
681,NaN,NaN
682,NaN,NaN
683,NaN,NaN
684,NaN,NaN
685,NaN,NaN
686,NaN,NaN
687,NaN,NaN
688,NaN,NaN
689,NaN,NaN
690,NaN,NaN
691,NaN,NaN
692,NaN,NaN
693,NaN,NaN
694,NaN,NaN
695,NaN,NaN
696,NaN,NaN
697,NaN,NaN
698,NaN,NaN
699,NaN,NaN
700,NaN,NaN
701,NaN,NaN
702,NaN,NaN
703,NaN,NaN
704,NaN,NaN
705,NaN,NaN
706,NaN,NaN
707,NaN,NaN
708,NaN,NaN
709,NaN,NaN
710,NaN,NaN
711,NaN,NaN
712,NaN,NaN
713,NaN,NaN
714,NaN,NaN
715,NaN,NaN
716,NaN,NaN
717,NaN,NaN
718,NaN,NaN
719,NaN,NaN
720,NaN,NaN
721,NaN,NaN
722,NaN,NaN
723,NaN,NaN
724,NaN,NaN
725,NaN,NaN
726,NaN,NaN
727,NaN,NaN
728,NaN,NaN
729,NaN,NaN
730,NaN,NaN
731,NaN,NaN
732,NaN,NaN
733,NaN,NaN
734,NaN,NaN
735,NaN,NaN
736,NaN,NaN
737,NaN,NaN
738,NaN,NaN
739,NaN,NaN
740,NaN,NaN
741,NaN,NaN
742,NaN,NaN
743,NaN,NaN
744,NaN,NaN
745,NaN,NaN
746,NaN,NaN
747,NaN,NaN
748,NaN,NaN
749,NaN,NaN
750,NaN,NaN
751,NaN,NaN
752,NaN,NaN
753,NaN,NaN
754,NaN,NaN
755,NaN,NaN
756,NaN,NaN
757,NaN,NaN
758,NaN,NaN
759,NaN,NaN
760,NaN,NaN
761,NaN,NaN
762,NaN,NaN
763,NaN,NaN
764,NaN,NaN
765,NaN,NaN
766,NaN,NaN
767,NaN,NaN
768,NaN,NaN
769,NaN,NaN
770,NaN,NaN
771,NaN,NaN
772,NaN,NaN
773,NaN,NaN
774,NaN,NaN
775,NaN,NaN
776,NaN,NaN
777,NaN,NaN
778,NaN,NaN
779,NaN,NaN
780,NaN,NaN
781,NaN,NaN
782,NaN,NaN
783,NaN,NaN
784,NaN,NaN
785,NaN,NaN
786,NaN,NaN
787,NaN,NaN
788,NaN,NaN
789,NaN,NaN
790,NaN,NaN
791,NaN,NaN
792,NaN,NaN
793,NaN,NaN
794,NaN,NaN
795,NaN,NaN
796,NaN,NaN
797,NaN,NaN
798,NaN,NaN
799,NaN,NaN
800,NaN,NaN
801,NaN,NaN
802,NaN,NaN
803,NaN,NaN
804,NaN,NaN
805,NaN,NaN
806,NaN,NaN
807,NaN,NaN
808,NaN,NaN
809,NaN,NaN
810,NaN,NaN
811,NaN,NaN
812,NaN,NaN
813,NaN,NaN
814,NaN,NaN
815,NaN,NaN
816,NaN,NaN
817,NaN,NaN
818,NaN,NaN
819,NaN,NaN
820,NaN,NaN
821,NaN,NaN
822,NaN,NaN
823,NaN,NaN
824,NaN,NaN
825,NaN,NaN
826,NaN,NaN
827,NaN,NaN
828,NaN,NaN
829,NaN,NaN
830,NaN,NaN
831,NaN,NaN
832,NaN,NaN
833,NaN,NaN
834,NaN,NaN
835,NaN,NaN
836,NaN,NaN
837,NaN,NaN
838,NaN,NaN
839,NaN,NaN
840,NaN,NaN
841,NaN,NaN
842,NaN,NaN
843,NaN,NaN
844,NaN,NaN
845,NaN,NaN
846,NaN,NaN
847,NaN,NaN
848,NaN,NaN
849,NaN,NaN
850,NaN,NaN
851,NaN,NaN
852,NaN,NaN
853,NaN,NaN
854,NaN,NaN
855,NaN,NaN
856,NaN,NaN
857,NaN,NaN
858,NaN,NaN
859,NaN,NaN
860,NaN,NaN
861,NaN,NaN
862,NaN,NaN
863,NaN,NaN
864,NaN,NaN
865,NaN,NaN
866,NaN,NaN
867,NaN,NaN
868,NaN,NaN
869,NaN,NaN
870,NaN,NaN
871,NaN,NaN
872,NaN,NaN
873,NaN,NaN
874,NaN,NaN
875,NaN,NaN
876,NaN,NaN
877,NaN,NaN
878,NaN,NaN
879,NaN,NaN
880,NaN,NaN
881,NaN,NaN
882,NaN,NaN
883,NaN,NaN
884,NaN,NaN
885,NaN,NaN
886,NaN,NaN
887,NaN,NaN
888,NaN,NaN
889,NaN,NaN
890,NaN,NaN
891,NaN,NaN
892,NaN,NaN
893,NaN,NaN
894,NaN,NaN
895,NaN,NaN
896,NaN,NaN
897,NaN,NaN
898,NaN,NaN
899,NaN,NaN
900,NaN,NaN
901,NaN,NaN
902,NaN,NaN
903,NaN,NaN
904,NaN,NaN
905,NaN,NaN
906,NaN,NaN
907,NaN,NaN
908,NaN,NaN
909,NaN,NaN
910,NaN,NaN
911,NaN,NaN
912,NaN,NaN
913,NaN,NaN
914,NaN,NaN
915,NaN,NaN
916,NaN,NaN
917,NaN,NaN
918,NaN,NaN
919,NaN,NaN
920,NaN,NaN
921,NaN,NaN
922,NaN,NaN
923,NaN,NaN
924,NaN,NaN
925,NaN,NaN
926,NaN,NaN
927,NaN,NaN
928,NaN,NaN
929,NaN,NaN
930,NaN,NaN
931,NaN,NaN
932,NaN,NaN
933,NaN,NaN
934,NaN,NaN
935,NaN,NaN
936,NaN,NaN
937,NaN,NaN
938,NaN,NaN
939,NaN,NaN
940,NaN,NaN
941,NaN,NaN
942,NaN,NaN
943,NaN,NaN
944,NaN,NaN
945,NaN,NaN
946,NaN,NaN
947,NaN,NaN
948,NaN,NaN
949,NaN,NaN
950,NaN,NaN
951,NaN,NaN
952,NaN,NaN
953,NaN,NaN
954,NaN,NaN
955,NaN,NaN
956,NaN,NaN
957,NaN,NaN
958,NaN,NaN
959,NaN,NaN
960,NaN,NaN
961,NaN,NaN
962,NaN,NaN
963,NaN,NaN
964,NaN,NaN
965,NaN,NaN
966,NaN,NaN
967,NaN,NaN
968,NaN,NaN
969,NaN,NaN
970,NaN,NaN
971,NaN,NaN
972,NaN,NaN
973,NaN,NaN
974,NaN,NaN
975,NaN,NaN
976,NaN,NaN
977,NaN,NaN
978,NaN,NaN
979,NaN,NaN
980,NaN,NaN
981,NaN,NaN
982,NaN,NaN
983,NaN,NaN
984,NaN,NaN
985,NaN,NaN
986,NaN,NaN
987,NaN,NaN
988,NaN,NaN
989,NaN,NaN
990,NaN,NaN
991,NaN,NaN
992,NaN,NaN
993,NaN,NaN
994,NaN,NaN
995,NaN,NaN
996,NaN,NaN
997,NaN,NaN
998,NaN,NaN
999,NaN,NaN
1000,NaN,NaN
1001,NaN,NaN
1002,NaN,NaN
1003,NaN,NaN
1004,NaN,NaN
1005,NaN,NaN
1006,NaN,NaN
1007,NaN,NaN
1008,NaN,NaN
1009,NaN,NaN
1010,NaN,NaN
1011,NaN,NaN
1012,NaN,NaN
1013,NaN,NaN
1014,NaN,NaN
1015,NaN,NaN
1016,NaN,NaN
1017,NaN,NaN
1018,NaN,NaN
1019,NaN,NaN
1020,NaN,NaN
1021,NaN,NaN
1022,NaN,NaN
1023,NaN,NaN
1024,NaN,NaN
1025,NaN,NaN
1026,NaN,NaN
1027,NaN,NaN
1028,NaN,NaN
1029,NaN,NaN
1030,NaN,NaN
1031,NaN,NaN
1032,NaN,NaN
1033,NaN,NaN
1034,NaN,NaN
1035,NaN,NaN
1036,NaN,NaN
1037,NaN,NaN
1038,NaN,NaN
1039,NaN,NaN
1040,NaN,NaN
1041,NaN,NaN
1042,NaN,NaN
1043,NaN,NaN
1044,NaN,NaN
1045,NaN,NaN
1046,NaN,NaN
1047,NaN,NaN
1048,NaN,NaN
1049,NaN,NaN
1050,NaN,NaN
1051,NaN,NaN
1052,NaN,NaN
1053,NaN,NaN
1054,NaN,NaN
1055,NaN,NaN
1056,NaN,NaN
1057,NaN,NaN
1058,NaN,NaN
1059,NaN,NaN
1060,NaN,NaN
1061,NaN,NaN
1062,NaN,NaN
1063,NaN,NaN
1064,NaN,NaN
1065,NaN,NaN
1066,NaN,NaN
1067,NaN,NaN
1068,NaN,NaN
1069,NaN,NaN
1070,NaN,NaN
1071,NaN,NaN
1072,NaN,NaN
1073,NaN,NaN
1074,NaN,NaN
1075,NaN,NaN
1076,NaN,NaN
1077,NaN,NaN
1078,NaN,NaN
1079,NaN,NaN
1080,NaN,NaN
1081,NaN,NaN
1082,NaN,NaN
1083,NaN,NaN
1084,NaN,NaN
1085,NaN,NaN
1086,NaN,NaN
1087,NaN,NaN
1088,NaN,NaN
1089,NaN,NaN
1090,NaN,NaN
1091,NaN,NaN
1092,NaN,NaN
1093,NaN,NaN
1094,NaN,NaN
1095,NaN,NaN
1096,NaN,NaN
1097,NaN,NaN
1098,NaN,NaN
1099,NaN,NaN
1100,NaN,NaN
